DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2024;5216;REDE MT AEREA                     ;23890.281307;492.966925;24383.248232
31/12/2020;6585;REDE MT AEREA                     ;23988.914526;60.563934;24049.47846
31/12/2021;6585;REDE MT AEREA                     ;24154.97501;56.752279;24211.727289
31/12/2022;6585;REDE MT AEREA                     ;25587.995077;57.617115;25645.612192
31/12/2023;6585;REDE MT AEREA                     ;25784.014793;80.108662;25864.123455
31/12/2024;6585;REDE MT AEREA                     ;25947.451784;87.675689;26035.127473
31/12/2020;6587;REDE MT AEREA                     ;18337.824006;683.456615;19021.280621
31/12/2021;6587;REDE MT AEREA                     ;18514.531842;683.923927;19198.455769
31/12/2022;6587;REDE MT AEREA                     ;18871.474832;545.481416;19416.956248
31/12/2023;6587;REDE MT AEREA                     ;19078.591929;545.599399;19624.191328
31/12/2024;6587;REDE MT AEREA                     ;19118.955044;658.960294;19777.915338
31/12/2020;6600;REDE MT AEREA                     ;42000.322029;294.098913;42294.420942
31/12/2021;6600;REDE MT AEREA                     ;42259.620453;326.838859;42586.459312
31/12/2022;6600;REDE MT AEREA                     ;42667.90263;334.858221;43002.760851
31/12/2023;6600;REDE MT AEREA                     ;45519.850751;416.829441;45936.680192
31/12/2024;6600;REDE MT AEREA                     ;46120.925669;394.31372;46515.239389
31/12/2020;6611;REDE MT AEREA                     ;2326.524951;27.097364;2353.622315
31/12/2021;6611;REDE MT AEREA                     ;2344.271601;29.190465;2373.462066
31/12/2022;6611;REDE MT AEREA                     ;2355.716115;35.92068;2391.636795
31/12/2020;6612;REDE MT AEREA                     ;1226.445923;2.224154;1228.670077
31/12/2021;6612;REDE MT AEREA                     ;1231.772002;2.224154;1233.996156
31/12/2020;26;REDE MT SUMTERRANEA               ;0.865905;0.240537;1.106442
31/12/2021;26;REDE MT SUMTERRANEA               ;0.894326;0.220368;1.114694
31/12/2022;26;REDE MT SUMTERRANEA               ;0.055376;0.169101;0.224477
31/12/2023;26;REDE MT SUMTERRANEA               ;0.137306;0.247257;0.384563
31/12/2024;26;REDE MT SUMTERRANEA               ;2.28465;1.789194;4.073844
31/12/2020;32;REDE MT SUMTERRANEA               ;409.612038;3.63477;413.246808
31/12/2022;32;REDE MT SUMTERRANEA               ;0.034178;0.279381;0.313559
